Track Name,Artists,Predicted_Preferences,mbti
Ordinary Loneliness,MOVNING,0.08263734785682154,enfj
Anywhere,GIFT,0.08216015255543867,enfj
Countdown to Three like a Habit (with KCM),Lee KyuRa,0.08173942032194942,enfj
My ddu ddu,KOREA CRACKER,0.08126485059321872,enfj
Episode,Lee Mujin,0.08086661425962079,enfj
Ring Ding Ding,IGWI,0.08080497894948022,enfj
girl in new york,Nessa Barrett,0.08004102112220854,enfj
Backwards,"Goth Babe, WATTS",0.07975307287262962,enfj
"Whether it snows white or not, it's a special winter",THE ADE,0.07970607950552,enfj
My Whole World Is You,YUJU,0.07914190351830808,enfj
Dream,Kim Bum Soo,0.07906374555645468,enfj
Without Me,BIG MAMA,0.0787214891987521,enfj
The General,Guns N' Roses,0.07832614770098971,enfj
100th,Minsu,0.07794167352373874,enfj
Indulgence,Jinan Laetitia,0.07764005509045083,enfj
Whatever Comes My Way,Felly,0.07749190652476533,enfj
Star Plaza,Chaboom,0.07743030236489573,enfj
You're leaving like the season,Sandeul,0.07735893523055762,enfj
Small Consolation,Sunjin,0.07696425682123624,enfj
"Good Morning, Good Night",YOON SEO BIN,0.0766252818991338,enfj
A Beautiful Farewell,CHUU,0.07651627286810002,enfj
Stranger (Feat. 10cm),"HEIZE, 10cm",0.07645371606975554,enfj
Standing Next to You (Usher Remix),"Jung Kook, USHER",0.07633334497056198,enfj
Soñar (Breaker),NMIXX,0.07598533111625216,enfj
Eternity,deulrejang,0.0759176193182587,enfj
I have to leave so suddenly,Yoo Jiwoo,0.07589189502508556,enfj
보통의 고백 Ordinary Love Letter,Krr,0.07581483793545023,enfj
Lazy Baby (Feat. howelle),"GEM IV, howelle",0.07579173141853149,enfj
My Love,Microdot,0.07571462674786233,enfj
Crush!,xooos,0.07542465192944944,enfj
RollerCoaster,SAAY,0.07529304712786594,enfj
Say You Love Me,Sam Kim,0.07526814203413115,enfj
What are we (Feat. PARK JIWON of fromis_9),"BAEKHO, PARK JI WON (fromis_9)",0.07485411709591651,enfj
내일이 아름답도록,JUNIEL,0.0745858063239189,enfj
Decalcomanie (Veiled Musician X Solar (MAMAMOO) with Jangwi-dong),Solar,0.07449674155254311,enfj
헤브어굿데이!,JUTO,0.07436311453258822,enfj
Lie (Feat. youra),"Project MU:FIRM, youra",0.07424031880692028,enfj
ALARM,ID:Earth,0.07410414405608776,enfj
OOTD,Dreamcatcher,0.07402171190951892,enfj
Snowball,BOL4,0.07389629900467704,enfj
"Last day, first light",heyden,0.07387586871930829,enfj
Noblesse,HYOLYN,0.07368037112591155,enfj
Five Six Three Four,Jflow,0.07344761904761904,enfj
Feels,"Nissy, Saweetie",0.07338887597900133,enfj
"Take Me Home, Country Roads",Lana Del Rey,0.07329863732932787,enfj
NUM,WOO,0.07321811609832062,enfj
How Have You Been?,lewloh,0.07304335008063019,enfj
Winter Again,NUITNUIT,0.07298698496293539,enfj
연정,Yang Ji Eun,0.07294268312885623,enfj
Sad Tomorrow,"Lina Cooper, Rian Cult",0.07291690821556976,enfj
Tied,COOING,0.07275481643168931,enfj
Sound of your heart,Seori,0.07232462279515842,enfj
PINK CHRISTMAS,Apink,0.07212802106275791,enfj
Hedgehog,MC Sniper,0.07195471240494407,enfj
Wedding Dress (ft. JUSTHIS),"hyeminsong, JUSTHIS",0.07192307613428224,enfj
Imagine,Byeol Eun,0.07141140090467707,enfj
Stars,Jay Ocean,0.07113939019172622,enfj
Night,Jung In,0.07086778855737873,enfj
BEFORE,"PERC%NT, Jang yezi",0.07084973332511255,enfj
All Out Of Fight,P!nk,0.07071583105778415,enfj
Dilly Dally,CRAVITY,0.07027337141169152,enfj
Merry Merry Christmas,"Song Eun I, Kim Sook, Lee Jin Ah",0.07017966792807546,enfj
Body 2 Body (feat. PENOMECO),"Babylon, PENOMECO",0.07008787108109198,enfj
Goodbye,O.WHEN,0.06992711400096545,enfj
Mirror (Feat. Jeebanoff),"Summer Soul, jeebanoff",0.06991863159640896,enfj
Lucky Rocky,ROCKY,0.06987018952056953,enfj
REASONS,Loopy,0.06985220246498416,enfj
42,"Diplo, Maren Morris",0.06976926921623791,enfj
unbalance,1DAY,0.06961995738435797,enfj
Carol,Jo SoJeong,0.06957107866715709,enfj
Ruined,Adrianne Lenker,0.06954739938710527,enfj
Charisma,Jann,0.06947098390173767,enfj
THE WAY YOU MOVE,GAC (Gamaliél Audrey Cantika),0.06924528225834249,enfj
Happy B!tch (Feat. Lee Young Ji),"Jambino, Lee Young Ji",0.0691924513956772,enfj
Come Back To Me,Grizzly,0.06902980376730376,enfj
사랑 같은 걸 해요,Hwanho,0.06892971363473643,enfj
Cyber Ritual,Jasmine Sokko,0.06863373160389295,enfj
My Love Song,YeonJeong,0.06830714370635661,enfj
Lowkey,BM,0.0680168146692828,enfj
Deserve,HOYA,0.06798275734453532,enfj
White Glove,Dove Cameron,0.06772879062241971,enfj
HOW,kenessi,0.06764042964777267,enfj
In Your Eyes,LEE RAON,0.06738958140780187,enfj
Potential,FANTASY BOYS,0.06719912172078647,enfj
I’m So Happy For You,MRT,0.06710098056915118,enfj
It's okay - Orchestra Version,"RYEOWOOK, SM Classics TOWN Orchestra",0.06649815783052855,enfj
A Sick day,V.O.S,0.06644102129493258,enfj
그곳으로,Lee Hyuk,0.06643342155894787,enfj
V (Peace) (feat. AKMU),"Zion.T, AKMU",0.06617235209235209,enfj
Tears on the Dance Floor,Icona Pop,0.06606060606060607,enfj
Until The End,Park Eunbin,0.06604858375904887,enfj
Dear.,THE BOYZ,0.06600650716087017,enfj
Outro,"oxymosoon, NECTA, earring",0.0657310032852722,enfj
I Sent My Therapist To Therapy,Alec Benjamin,0.06571961609660261,enfj
Truth or Dare,Tyla,0.06564464882096462,enfj
I (Feat. DAWN),Park Bom,0.06558320193245992,enfj
Love Love,Sumi Jo,0.06453450933450933,enfj
Someday,"Bong Gu(GilGuBongGu), Sin Ye Young",0.06449364586280988,enfj
Hoopee (Feat. Loco) (Prod. GRAY),"Jambino, Loco",0.06429332519332519,enfj
Over (feat. Minna Seo),"Woshi, Minna Seo",0.0642369598350103,enfj
Intro session : Humanoid operational,cotoba,0.06372046743803951,enfj
BETTER OFF (Feat. gamma) (Prod. EDDY),"unofficialboyy, gamma",0.06365362310963521,enfj
Crazy Form,ATEEZ,0.06360699121666864,enfj
Astronaut,Griff,0.06358925478465324,enfj
FIRST SNOW,XODIAC,0.06279565607398975,enfj
3D (Justin Timberlake Remix),"Jung Kook, Justin Timberlake",0.06270760429480572,enfj
Little Star,Kim Yeonji,0.06261919898139996,enfj
Ganadara,"lobonabeat!, BILL STAX, oygli",0.06248834422657952,enfj
"You, You, You",2BiC,0.06235663938869984,enfj
Into My Playlist Pt. 5 - Dear My Spring,Baek A Yeon,0.06224022189291387,enfj
Middle Aged,good problem,0.062213970963061714,enfj
Amnesia,VIXX,0.062137049338978526,enfj
What's My Name,MAVE:,0.06189284973830291,enfj
):阿修羅:(,King Gnu,0.06187646671080175,enfj
Sunday Latte,"Junggigo, Jea",0.061865301792685644,enfj
Joka (Feat. Mommy Son),"Mad Clown, Mommy Son",0.06164594918368503,enfj
july,Lyn Lapid,0.06162119206543311,enfj
HBD To You (Midnight Version),CSR,0.06141383620522084,enfj
