,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
1020,ISTJ YOGURT SHAKE,When The Wind Blows,YOONA,0.63,0.477,4,-8.508,1,0.0248,0.539,0.000226,0.118,0.192,100.012,226169,4
1021,ISTJ YOGURT SHAKE,SOS,NCT DREAM,0.772,0.817,1,-3.483,1,0.204,0.052,0.0,0.435,0.44,110.058,179827,4
1022,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1023,ISTJ YOGURT SHAKE,Starry Night,NCT DREAM,0.674,0.768,0,-3.973,0,0.0429,0.458,0.0,0.183,0.729,153.009,190120,4
1024,ISTJ YOGURT SHAKE,Like We Just Met,NCT DREAM,0.666,0.509,2,-5.619,1,0.0378,0.16,0.0,0.171,0.446,106.987,209627,4
1025,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1026,ISTJ YOGURT SHAKE,Hello Future,NCT DREAM,0.545,0.803,1,-2.283,1,0.0526,0.0261,0.0,0.114,0.5,170.006,220920,4
1027,ISTJ YOGURT SHAKE,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1028,ISTJ YOGURT SHAKE,ANL,NCT DREAM,0.668,0.714,6,-3.36,0,0.0503,0.254,0.0,0.143,0.603,157.85,225533,4
1029,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1030,ISTJ YOGURT SHAKE,Like We Just Met,NCT DREAM,0.666,0.509,2,-5.619,1,0.0378,0.16,0.0,0.171,0.446,106.987,209627,4
1031,ISTJ YOGURT SHAKE,Never Goodbye,NCT DREAM,0.786,0.572,11,-4.967,1,0.0399,0.282,0.0,0.0808,0.539,91.977,212800,4
1032,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1033,ISTJ YOGURT SHAKE,I Just Wanna Dance,TIFFANY,0.72,0.754,5,-3.675,1,0.0481,0.0128,0.0,0.616,0.195,114.054,209688,4
1034,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1035,ISTJ YOGURT SHAKE,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1036,ISTJ YOGURT SHAKE,SOS,NCT DREAM,0.772,0.817,1,-3.483,1,0.204,0.052,0.0,0.435,0.44,110.058,179827,4
1037,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1038,ISTJ YOGURT SHAKE,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
1039,ISTJ YOGURT SHAKE,Graduation,NCT DREAM,0.4,0.663,6,-4.642,1,0.0712,0.426,0.0,0.141,0.41,169.772,237093,4
1040,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
