Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
ENFP,SHOUT OUT,ENHYPEN,0.495,0.844,2,-3.65,1,0.0671,0.00315,0.0,0.459,0.486,159.989,228116,4
ENFP,Flicker,ENHYPEN,0.656,0.761,10,-5.112,0,0.092,0.00647,3.35e-06,0.169,0.549,85.149,144371,4
ENFP,Given-Taken,ENHYPEN,0.631,0.649,8,-4.939,0,0.0377,0.17,0.0,0.321,0.459,108.07,183090,4
ENFP,Tamed-Dashed - Japanese Ver.,ENHYPEN,0.604,0.795,11,-4.316,0,0.047,0.00107,2.97e-06,0.0986,0.713,155.083,196933,4
ENFP,Future Perfect (Pass the MIC) - Japanese Ver.,ENHYPEN,0.686,0.893,7,-3.512,1,0.168,0.0297,0.0,0.0808,0.461,78.007,180227,4
ENFP,Drunk-Dazed,ENHYPEN,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.0,0.0911,0.453,132.889,193260,4
ENFP,Drunk-Dazed - Japanese Ver.,ENHYPEN,0.6,0.821,1,-5.351,1,0.0499,0.000652,0.0,0.0638,0.524,132.855,194800,4
ENFP,Go Big or Go Home,ENHYPEN,0.766,0.844,10,-3.993,0,0.0575,0.0502,0.0,0.269,0.823,122.019,201707,4
ENFP,Upper Side Dreamin’,ENHYPEN,0.608,0.886,0,-3.027,1,0.0773,0.0281,0.0,0.446,0.783,106.02,189402,4
ENFP,Blessed-Cursed - Japanese Ver.,ENHYPEN,0.61,0.879,4,-3.582,0,0.0611,0.0816,0.0,0.366,0.382,126.96,172560,4
ENFP,SSW,Koresawa,0.586,0.689,11,-4.723,1,0.0342,0.0394,0.0,0.416,0.493,90.017,267387,4
ENFP,Violeta,IZ*ONE,0.712,0.885,7,-2.96,1,0.0605,0.00391,0.0,0.105,0.661,115.009,200912,4
ENFP,僕に彼女ができたんだ,SHISHAMO,0.569,0.814,8,-3.382,1,0.0345,0.0196,0.0,0.287,0.621,135.102,188760,4
ENFP,日常革命,neguse.,0.437,0.684,7,-2.604,1,0.0369,0.00981,0.0,0.345,0.441,157.835,273160,4
ENFP,祝日天国,35.7,0.416,0.693,9,-3.707,1,0.0347,0.00156,9.04e-05,0.113,0.533,175.115,241067,4
ENFP,いつか,Saucy Dog,0.603,0.509,7,-4.535,1,0.0263,0.0941,0.0,0.201,0.445,79.989,274872,4
ENFP,Psycho,Red Velvet,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,4
ENFP,Make the change,ENHYPEN,0.807,0.767,0,-3.643,1,0.0777,0.0308,0.0,0.285,0.855,110.994,187000,4
ENFP,ParadoXXX Invasion,ENHYPEN,0.727,0.863,1,-3.181,1,0.0879,0.0298,0.0,0.334,0.72,94.952,187490,4
ENFP,Polaroid Love,ENHYPEN,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,184602,4
ENFP,ふたりの世界,Aimyon,0.365,0.748,9,-5.066,1,0.0387,0.015,0.0,0.106,0.509,197.951,287867,4
ENFP,東京フラッシュ,Vaundy,0.628,0.634,2,-5.508,1,0.0322,0.00255,7.24e-06,0.0456,0.606,97.99,258859,4
ENFP,Butterfly,J.UNA,0.775,0.759,8,-4.325,1,0.0873,0.451,0.0,0.108,0.915,126.054,194147,4
for the enfp,Fuzzybrain,Dayglow,0.488,0.51,7,-8.367,1,0.026,0.0233,0.15,0.143,0.368,104.959,219429,4
for the enfp,the last great american dynasty,Taylor Swift,0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,4
for the enfp,Golden,Harry Styles,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,4
for the enfp,Green Light,Lorde,0.594,0.721,2,-7.812,1,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,234653,4
for the enfp,Dreams Tonite,Alvvays,0.51,0.622,2,-5.727,1,0.0242,0.0108,4.11e-06,0.127,0.424,99.934,196027,4
for the enfp,Swimming,Lunar Vacation,0.435,0.404,4,-13.252,1,0.0266,0.0366,0.351,0.117,0.366,154.959,280251,3
for the enfp,Show Me How,Men I Trust,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,215111,4
for the enfp,6 Weeks,Beach Bunny,0.328,0.86,10,-6.663,1,0.0638,0.0802,0.103,0.27,0.625,156.932,241361,4
for the enfp,This Is Home,Cavetown,0.81,0.266,7,-12.478,1,0.0407,0.56,1.05e-06,0.0962,0.212,130.041,226073,4
for the enfp,Walk You Home,Sir Chloe,0.374,0.609,0,-5.27,0,0.0473,0.289,0.000157,0.175,0.501,155.227,168364,4
for the enfp,Supalonely,"BENEE, Gus Dapperton",0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480,4
for the enfp,I Love You So,The Walters,0.578,0.669,10,-4.898,1,0.0377,0.65,0.0,0.13,0.503,75.995,160254,4
for the enfp,Ivy,Frank Ocean,0.575,0.386,9,-9.584,0,0.037,0.785,0.000289,0.229,0.466,116.408,249191,4
for the enfp,Ode to a Conversation Stuck in Your Throat,Del Water Gap,0.57,0.804,11,-6.782,1,0.0701,0.0598,8.96e-05,0.187,0.624,87.533,199233,4
for the enfp,Kyoto,Phoebe Bridgers,0.6,0.749,11,-6.889,1,0.0419,0.0467,0.295,0.0915,0.485,131.024,184524,4
for the enfp,Just Like a Movie,Wallows,0.449,0.825,11,-5.177,1,0.037,0.00121,0.0,0.208,0.223,135.934,247613,4
for the enfp,Yellow Flowers,Alfie Templeman,0.44,0.922,4,-4.05,1,0.0772,0.14,0.296,0.324,0.805,123.72,186259,4
for the enfp,Comfort Crowd,Conan Gray,0.678,0.431,0,-6.749,1,0.0326,0.163,1.94e-06,0.147,0.404,90.941,174680,4
for the enfp,You Are the Right One,Sports,0.659,0.594,4,-8.494,0,0.0261,0.162,0.846,0.632,0.851,100.033,172507,4
for the enfp,Chapstick,COIN,0.806,0.636,2,-6.281,1,0.042,0.00515,0.00053,0.109,0.783,115.03,193299,4
for the enfp,Fred Astaire,Jukebox The Ghost,0.605,0.71,11,-4.75,1,0.0753,0.0244,3.72e-05,0.309,0.691,110.171,219000,4
for the enfp,Mustang,Skegss,0.435,0.898,2,-6.396,1,0.0598,0.00717,0.0,0.355,0.806,149.167,183673,4
for the enfp,Get in My Car,BRONCHO,0.74,0.833,11,-5.202,1,0.0381,0.083,0.0101,0.158,0.816,142.998,214082,4
for the enfp,Weekend Friend,Goth Babe,0.409,0.594,1,-9.725,1,0.031,0.032,0.0391,0.0904,0.212,110.187,209455,4
for the enfp,Chateau,Angus & Julia Stone,0.661,0.589,5,-11.217,1,0.0368,0.637,0.863,0.111,0.603,129.987,273533,4
for the enfp,Don't Go Dark,Bleachers,0.503,0.856,11,-7.092,1,0.074,0.0387,2.28e-06,0.0931,0.692,150.014,243947,4
for the enfp,I Couldn't Be More In Love,The 1975,0.55,0.424,3,-7.136,1,0.0285,0.483,2.45e-06,0.0972,0.173,121.326,231992,4
for the enfp,Can I Call You Tonight?,Dayglow,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,278769,4
for the enfp,Skool,San Cisco,0.382,0.495,9,-7.633,1,0.0491,0.722,0.0,0.772,0.399,101.259,150496,4
for the enfp,Swimming In The Moonlight,Bad Suns,0.662,0.904,1,-4.611,0,0.0472,0.0322,0.00068,0.279,0.696,129.945,221280,4
for the enfp,Perfect Places,Lorde,0.622,0.58,1,-5.273,0,0.0504,0.00241,2.95e-05,0.112,0.512,104.41,221874,4
for the enfp,Who Am I,Vance Joy,0.622,0.694,9,-6.636,0,0.0596,0.561,0.000379,0.123,0.605,127.786,159600,4
for the enfp,Ends of the Earth,Lord Huron,0.555,0.584,4,-8.667,1,0.0301,0.274,0.0228,0.254,0.41,120.965,284147,4
for the enfp,Sound & Color,Alabama Shakes,0.548,0.412,2,-7.398,1,0.0736,0.852,0.611,0.0854,0.151,114.928,183293,4
for the enfp,"Call It Fate, Call It Karma",The Strokes,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,204773,4
for the enfp,Rollercoaster,Bleachers,0.421,0.79,10,-6.227,1,0.0538,0.00205,0.000309,0.148,0.279,162.024,188867,4
for the enfp,São Paulo,Vincent Mango,0.446,0.884,7,-5.469,1,0.069,0.00489,0.0001,0.196,0.585,155.011,169091,4
for the enfp,Mariners Apartment Complex,Lana Del Rey,0.528,0.284,9,-11.487,1,0.0287,0.795,0.000303,0.109,0.172,76.012,246421,4
for the enfp,My Old Man,Mac DeMarco,0.658,0.575,1,-11.493,1,0.0332,0.677,0.253,0.0985,0.832,149.274,221653,4
for the enfp,Lucky Strike,Troye Sivan,0.612,0.694,2,-7.363,1,0.0514,0.579,0.0,0.0914,0.564,103.031,208967,4
for the enfp,Peace Blossom Boogy,Babe Rainbow,0.661,0.821,2,-4.565,1,0.0307,0.041,0.0333,0.105,0.86,112.011,194280,4
for the enfp,Nellie,Dr. Dog,0.506,0.526,4,-9.936,1,0.0285,0.334,0.000539,0.0907,0.591,129.641,217613,4
for the enfp,From Eden,Hozier,0.484,0.528,0,-6.951,1,0.0424,0.398,2.57e-05,0.107,0.408,109.361,222427,4
for the enfp,star-crossed,Kacey Musgraves,0.378,0.441,2,-9.142,0,0.0355,0.709,0.00288,0.0887,0.158,105.905,199227,4
for the enfp,big fat mouth,Arlie,0.605,0.827,2,-5.15,1,0.0454,0.0678,7.62e-06,0.182,0.858,128.023,218773,4
for the enfp,Mood Ring,Lorde,0.709,0.459,5,-11.193,1,0.0654,0.432,6.29e-06,0.23,0.377,95.014,225863,4
for the enfp,Trouble,Cage The Elephant,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,225973,4
for the enfp,Daylight,Taylor Swift,0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,293453,4
for the enfp,Hard Way Home,Brandi Carlile,0.726,0.667,10,-4.072,1,0.0491,0.482,0.0,0.0446,0.205,87.086,201493,4
for the enfp,Boys Don't Cry,The Cure,0.462,0.836,11,-5.766,0,0.0621,0.00517,0.0,0.18,0.671,168.766,155973,4
ENFP,Love To Hate Me,BLACKPINK,0.689,0.656,8,-4.532,1,0.143,0.0365,0.0,0.136,0.623,162.269,169798,4
ENFP,double take,dhruv,0.456,0.437,8,-11.156,1,0.0867,0.839,0.0,0.218,0.209,108.678,171743,4
ENFP,Butterflies,Johnny Stimson,0.7,0.382,0,-9.896,1,0.178,0.317,0.0,0.11,0.759,145.965,161096,4
ENFP,Play Date,Melanie Martinez,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,179867,4
ENFP,Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4
ENFP,Take You Back,Sabrina Carpenter,0.625,0.7,0,-3.801,1,0.135,0.0794,0.0,0.143,0.517,199.847,169058,4
ENFP,Nonsense,Sabrina Carpenter,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,163648,4
ENFP,Here With Me,d4vd,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,242485,4
ENFP,Kill Bill,SZA,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,153947,4
ENFP,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,176440,3
ENFP,As It Was,Harry Styles,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
ENFP,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, Funk Wav",0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,223413,4
ENFP,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4
ENFP,Feather,Sabrina Carpenter,0.787,0.686,6,-4.37,0,0.0339,0.0893,0.0,0.0927,0.836,123.51,185553,4
