Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
INTJ songs based on personality database,Family Line,Conan Gray,0.326,0.397,6,-8.145,1,0.0461,0.619,0.0,0.0979,0.276,153.713,216095,3
INTJ songs based on personality database,Body,Mother Mother,0.596,0.633,10,-3.602,0,0.0594,0.131,0.0,0.343,0.473,148.09,213573,4
INTJ songs based on personality database,Blood // Water,grandson,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,216721,4
INTJ songs based on personality database,Warriors,Imagine Dragons,0.365,0.851,4,-6.238,0,0.0645,0.0964,0.003,0.237,0.309,78.086,171040,4
INTJ songs based on personality database,Meant to be Yours,"Jamie Muscato, Original West End Cast of Heathers",0.552,0.632,6,-6.364,0,0.0962,0.398,0.0,0.227,0.464,97.998,210440,3
INTJ songs based on personality database,The Adults Are Talking,The Strokes,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4
INTJ songs based on personality database,The Family Jewels,MARINA,0.775,0.552,2,-5.271,0,0.0326,0.682,0.0,0.143,0.517,111.929,245533,4
INTJ songs based on personality database,Nowhere To Run,Stegosaurus Rex,0.809,0.668,7,-6.936,1,0.219,0.678,0.0147,0.0865,0.636,119.976,300000,4
INTJ songs based on personality database,Tear You Apart,She Wants Revenge,0.583,0.729,1,-6.645,0,0.0341,0.000522,1.47e-05,0.487,0.539,152.996,284613,4
INTJ songs based on personality database,Bad Things,Cults,0.289,0.731,1,-6.866,0,0.0554,0.374,0.316,0.292,0.289,113.618,218560,4
INTJ songs based on personality database,Cigarette Duet,Princess Chelsea,0.353,0.539,0,-8.003,0,0.0283,0.326,0.00141,0.0964,0.176,104.966,260013,4
INTJ songs based on personality database,Titanium (feat. Sia),"David Guetta, Sia",0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,4
INTJ songs based on personality database,moment,Vierre Cloud,0.544,0.855,6,-7.461,1,0.093,0.0426,0.157,0.167,0.517,171.349,129543,4
