,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
224,ENFJ energy🫶🏻 ,When - Live,dodie,0.321,0.179,8,-12.934,1,0.0312,0.929,0.00405,0.108,0.284,104.674,195000,4
225,ENFJ energy🫶🏻 ,Monster,dodie,0.831,0.606,9,-7.694,1,0.107,0.694,0.000109,0.0635,0.944,100.013,245847,4
226,ENFJ energy🫶🏻 ,YOUTH,Troye Sivan,0.628,0.737,7,-4.437,1,0.041,0.0625,0.0,0.0777,0.592,91.507,185194,4
227,ENFJ energy🫶🏻 ,Bloom,Troye Sivan,0.708,0.701,0,-5.196,1,0.0328,0.031,0.0,0.392,0.504,120.932,222097,4
228,ENFJ energy🫶🏻 ,Lucky Strike,Troye Sivan,0.612,0.694,2,-7.363,1,0.0514,0.579,0.0,0.0914,0.564,103.031,208967,4
229,ENFJ energy🫶🏻 ,Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",0.736,0.756,11,-7.099,1,0.047,0.00632,0.00577,0.106,0.712,117.016,231847,4
230,ENFJ energy🫶🏻 ,all the kids are depressed,Jeremy Zucker,0.773,0.437,9,-8.281,1,0.0963,0.836,2.42e-05,0.544,0.707,103.861,169973,4
231,ENFJ energy🫶🏻 ,Absolutely Smitten,dodie,0.667,0.663,9,-10.577,1,0.0346,0.456,0.00316,0.703,0.507,118.947,181000,4
232,ENFJ energy🫶🏻 ,Boyfriend,Dove Cameron,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,153000,3
233,ENFJ energy🫶🏻 ,Woman,Doja Cat,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
234,ENFJ energy🫶🏻 ,positions,Ariana Grande,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4
235,ENFJ energy🫶🏻 ,telepatía,Kali Uchis,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4
236,ENFJ energy🫶🏻 ,As It Was,Harry Styles,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
237,ENFJ energy🫶🏻 ,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4
238,ENFJ energy🫶🏻 ,narcisa,"Princesa Alba, DUDA BEAT",0.764,0.783,8,-5.1,0,0.0517,0.5,0.168,0.316,0.248,103.005,173427,4
239,ENFJ energy🫶🏻 ,MONEY,LISA,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,4
240,ENFJ energy🫶🏻 ,Hard On Yourself,"Charlie Puth, blackbear",0.824,0.783,1,-4.53,0,0.0507,0.22,0.0,0.234,0.788,114.028,160825,4
241,ENFJ energy🫶🏻 ,TKN (feat. Travis Scott),"ROSALÍA, Travis Scott",0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,129371,4
242,ENFJ energy🫶🏻 ,My Favorite Part,"Mac Miller, Ariana Grande",0.861,0.33,6,-7.194,1,0.0526,0.627,1.93e-06,0.14,0.718,95.016,216000,4
243,ENFJ energy🫶🏻 ,18,One Direction,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,248360,4
244,ENFJ energy🫶🏻 ,Summer Love,"Princesa Alba, Gianluca",0.714,0.539,0,-8.149,1,0.0282,0.0624,0.608,0.0611,0.35,98.016,191427,4
245,ENFJ energy🫶🏻 ,i wanna be your girlfriend,girl in red,0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,204991,4
246,ENFJ energy🫶🏻 ,Strong,One Direction,0.741,0.663,0,-7.308,1,0.0434,0.0608,0.0,0.0931,0.338,115.013,184373,4
247,ENFJ energy🫶🏻 ,Paradise,Bazzi,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,169038,4
248,ENFJ energy🫶🏻 ,Somebody To You,The Vamps,0.526,0.818,3,-5.952,1,0.0358,0.0587,0.0,0.333,0.896,171.96,185098,4
249,enfj,Will you go out with me,DIA,0.717,0.932,4,-2.426,0,0.066,0.0976,0.0,0.29,0.736,139.976,193813,4
250,enfj,Lucky,EXO,0.629,0.957,2,-3.008,1,0.0346,0.0168,0.0,0.284,0.282,127.982,203711,4
251,enfj,대박사건,B.A.P,0.661,0.961,11,-2.314,0,0.0491,0.029,0.0,0.133,0.951,129.011,174068,4
252,enfj,Ping Pong,Cherry Bullet,0.84,0.955,9,-1.905,1,0.117,0.151,7.91e-06,0.403,0.921,132.056,223787,4
253,enfj,Hakuna matata,DreamNote,0.666,0.961,7,-0.563,1,0.179,0.448,0.0,0.059,0.796,161.946,200243,4
254,enfj,Shall We Dance,Block B,0.854,0.721,2,-3.769,1,0.0776,0.0157,0.0,0.153,0.828,112.012,180807,4
255,enfj,Who Dis?,SECRET NUMBER,0.791,0.885,2,-2.43,1,0.0623,0.267,0.0,0.227,0.51,104.959,194037,4
256,enfj,Love Equation,VIXX,0.713,0.969,10,-2.789,1,0.0433,0.291,0.0,0.374,0.846,132.012,209182,4
257,enfj,BAZOOKA!,GWSN,0.739,0.746,4,-6.146,0,0.0476,0.0288,0.0,0.21,0.657,129.944,195302,4
258,enfj,Need U,MONSTA X,0.754,0.871,9,-2.807,0,0.0435,0.262,0.0,0.0612,0.867,99.028,197999,4
259,enfj,angel,OnlyOneOf,0.669,0.91,6,-2.063,0,0.0575,0.105,0.0,0.257,0.896,121.095,211400,4
260,enfj,Rainbow,gugudan,0.658,0.872,7,-2.213,1,0.0671,0.272,0.0,0.226,0.735,95.985,216691,4
261,enfj,Shooting Love,LABOUM,0.653,0.988,11,-1.697,1,0.197,0.241,1.91e-06,0.0787,0.862,160.028,201718,4
